name,price,cup,calorie
柳橙鮮果咖啡,75,M,148
檸檬鮮果咖啡,75,M,141
葡萄柚鮮果咖啡,75,M,167
繽紛水果咖啡,85,M,171
綠金鮮奶,70,M,199
芋頭鮮奶,70,M,347
烤黃金薯鮮奶,70,M,144
莓好時光,80,M,163
酪梨鮮奶,70,M,335
莓好花漾,80,L,155
台灣鮮榨柳橙綠,65,L,151
天天5蔬果汁,65,M,110
葚夏青春,65,L,197
番茄莓,65,L,310
芭樂檸檬,65,L,390
蜂蜜檸檬,60,L,315
繽紛水果茶,70,L,187
戀戀檸檬,55,L,309
翡翠檸檬,60,L,313
鮮桔梅麗,60,L,160
鮮百香果綠,60,L,176
柚美粒,65,L,194
鮮榨葡萄柚綠,65,L,193
百香/檸檬愛玉,65,L,390
百香輕果飲,35,L,179
葡萄柚輕果飲,40,L,181
青春梅麗,50,L,168
蘋果醋冰茶,50,L,118
養樂多綠茶,50,L,309
蔓越莓冰醋,50,L,166
蜜鮮草,55,L,114
冬瓜檸檬,60,L,161
金桔粒脆纖果,65,L,315
蔓美粒,65,L,314
蘋果多輕飲,70,L,177
黃金蜜柚茶,55,M,350
古城錫蘭紅茶,30,L,166
文山青茶,30,L,165
纖活綠茶,30,L,165
桂圓紅棗茶,55,L,114
鮮奶茶,55,L,367
觀音拿鐵,60,L,336
奶茶,45,L,193
珍珠奶茶,45,L,410
仙草凍奶茶,45,L,355
桂圓奶茶,60,L,133
